http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011
http://statistics.data.gov.uk/id/local-authority-district/38UB,Cherwell,,,,,730,1070,850,450,430,440,370
http://statistics.data.gov.uk/id/local-authority-district/00EQ,Cheshire East,,,,,,,,,,630,480
http://statistics.data.gov.uk/id/local-authority-district/00EW,Cheshire West and Chester,,,,,,,,,,730,670
http://statistics.data.gov.uk/id/local-authority-district/13UB,Chester,,,,,490,590,240,200,280,,
http://statistics.data.gov.uk/id/local-authority-district/20UB,Chester-le-Street,,,,,30,30,90,140,100,,
http://statistics.data.gov.uk/id/local-authority-district/17UD,Chesterfield,,,,,350,,380,430,60,20,70
http://statistics.data.gov.uk/id/local-authority-district/45UD,Chichester,,,,,450,480,350,430,590,320,430
http://statistics.data.gov.uk/id/local-authority-district/11UC,Chiltern,,,,,200,220,220,180,90,70,80
http://statistics.data.gov.uk/id/local-authority-district/30UE,Chorley,,,,,480,490,120,330,360,440,530
http://statistics.data.gov.uk/id/local-authority-district/19UC,Christchurch,,,,,90,130,130,190,100,100,100
http://statistics.data.gov.uk/id/local-authority-district/00AA,City of London,,,,,160,50,50,100,100,40,100
http://statistics.data.gov.uk/id/local-authority-district/22UG,Colchester,,,,,1280,900,1250,1240,1040,510,670
http://statistics.data.gov.uk/id/local-authority-district/13UC,Congleton,,,,,280,330,170,190,110,,
http://statistics.data.gov.uk/id/local-authority-district/16UE,Copeland,,,,,270,120,140,100,50,90,90
http://statistics.data.gov.uk/id/local-authority-district/34UB,Corby,,,,,290,490,740,500,480,360,590
http://statistics.data.gov.uk/id/local-authority-district/00HE,Cornwall,,,,,,,,,,2610,2060
http://statistics.data.gov.uk/id/local-authority-district/23UC,Cotswold,,,,,380,180,320,210,550,180,230
http://statistics.data.gov.uk/id/local-authority-district/00EJ,County Durham,,,,,,,,,,1020,1230
http://statistics.data.gov.uk/id/local-authority-district/00CQ,Coventry,,,,,280,600,890,1100,680,760,730
http://statistics.data.gov.uk/id/local-authority-district/36UB,Craven,,,,,230,200,190,150,330,110,140
http://statistics.data.gov.uk/id/local-authority-district/45UE,Crawley,,,,,180,190,470,680,370,410,380
http://statistics.data.gov.uk/id/local-authority-district/13UD,Crewe and Nantwich,,,,,730,780,850,810,470,,
http://statistics.data.gov.uk/id/local-authority-district/00AH,Croydon,,,,,660,670,1030,1460,1530,1370,1120
http://statistics.data.gov.uk/id/local-authority-district/26UC,Dacorum,,,,,300,170,410,390,410,240,600
http://statistics.data.gov.uk/id/local-authority-district/00EH,Darlington,,,,,560,490,450,550,250,210,200
http://statistics.data.gov.uk/id/local-authority-district/29UD,Dartford,,,,,630,180,660,600,610,,360
http://statistics.data.gov.uk/id/local-authority-district/34UC,Daventry,,,,,250,,,320,180,170,
http://statistics.data.gov.uk/id/local-authority-district/00FK,Derby,,,,,780,880,1050,1100,480,370,550
http://statistics.data.gov.uk/id/local-authority-district/17UF,Derbyshire Dales,,,,,220,180,190,240,170,,190
http://statistics.data.gov.uk/id/local-authority-district/20UD,Derwentside,,,,,190,350,70,600,420,,
http://statistics.data.gov.uk/id/local-authority-district/00CE,Doncaster,,,,,,,920,,1340,140,450
http://statistics.data.gov.uk/id/local-authority-district/29UE,Dover,,,,,330,430,330,340,270,260,180
http://statistics.data.gov.uk/id/local-authority-district/00CR,Dudley,,,,,620,550,770,540,690,150,520
http://statistics.data.gov.uk/id/local-authority-district/20UE,Durham,,,,,230,430,460,450,,,
http://statistics.data.gov.uk/id/local-authority-district/00AJ,Ealing,,,,,460,810,1350,1400,830,500,260
http://statistics.data.gov.uk/id/local-authority-district/20UF,Easington,,,,,260,400,650,480,230,,
http://statistics.data.gov.uk/id/local-authority-district/12UC,East Cambridgeshire,,,,,400,800,690,750,480,210,370
http://statistics.data.gov.uk/id/local-authority-district/18UB,East Devon,,,,,730,580,400,280,350,,
http://statistics.data.gov.uk/id/local-authority-district/19UD,East Dorset,,,,,230,170,130,160,100,80,160
http://statistics.data.gov.uk/id/local-authority-district/24UC,East Hampshire,,,,,480,360,280,550,580,270,270
http://statistics.data.gov.uk/id/local-authority-district/26UD,East Hertfordshire,,,,,360,550,780,560,550,470,200
http://statistics.data.gov.uk/id/local-authority-district/32UC,East Lindsey,,,,,500,540,730,530,590,920,240
http://statistics.data.gov.uk/id/government-office-region/E,East Midlands,,,,,17360,20090,22070,20600,14210,12790,11730
http://statistics.data.gov.uk/id/local-authority-district/34UD,East Northamptonshire,,,,,570,650,460,540,170,210,220
http://statistics.data.gov.uk/id/local-authority-district/00FB,East Riding of Yorkshire,,,,,1460,1230,1390,1550,470,930,1110
http://statistics.data.gov.uk/id/local-authority-district/41UC,East Staffordshire,,,,,,630,220,480,400,240,
http://statistics.data.gov.uk/id/government-office-region/G,East of England,,,,,22370,24530,24930,26750,20700,16220,17050
http://statistics.data.gov.uk/id/local-authority-district/21UC,Eastbourne,,,,,760,550,390,280,390,220,120
http://statistics.data.gov.uk/id/local-authority-district/24UD,Eastleigh,,,,,910,540,740,420,520,440,360
http://statistics.data.gov.uk/id/local-authority-district/16UF,Eden,,,,,180,130,170,150,100,110,110
http://statistics.data.gov.uk/id/local-authority-district/13UE,Ellesmere Port & Neston,,,,,310,280,140,230,230,,
http://statistics.data.gov.uk/id/local-authority-district/43UB,Elmbridge,,,,,460,360,380,280,260,200,360
http://statistics.data.gov.uk/id/local-authority-district/00AK,Enfield,,,,,370,210,710,940,330,280,460
http://data.ordnancesurvey.co.uk/id/country/england,England,132000,130510,143680,154770,169450,186380,198770,207370,166570,128680,121200
http://statistics.data.gov.uk/id/local-authority-district/22UH,Epping Forest,,,,,240,290,280,110,140,250,370
http://statistics.data.gov.uk/id/local-authority-district/43UC,Epsom and Ewell,,,,,190,210,310,280,220,100,250
http://statistics.data.gov.uk/id/local-authority-district/17UG,Erewash,,,,,250,690,360,480,410,190,210
http://statistics.data.gov.uk/id/local-authority-district/18UC,Exeter,,,,,480,730,890,510,410,300,550
http://statistics.data.gov.uk/id/local-authority-district/24UE,Fareham,,,,,290,310,580,550,320,190,360
http://statistics.data.gov.uk/id/local-authority-district/12UD,Fenland,,,,,640,780,760,930,310,250,300
http://statistics.data.gov.uk/id/local-authority-district/42UC,Forest Heath,,,,,200,330,270,550,310,,370
http://statistics.data.gov.uk/id/local-authority-district/23UD,Forest of Dean,,,,,230,230,210,410,310,100,230
http://statistics.data.gov.uk/id/local-authority-district/30UF,Fylde,,,,,250,140,170,380,300,150,120
http://statistics.data.gov.uk/id/local-authority-district/00CH,Gateshead,,,,,760,190,530,500,220,170,130
